traced_nodes,nl,trial,timestamp,strategy,numLocales,tracePath,totalTime,throughput,source_run
32,4,1,2026-07-17T23-49-14.413895,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,145.21465,16483969,run_20260717_215056
32,4,2,2026-07-17T23-51-53.381125,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,135.974265,17604168,run_20260717_215056
32,4,3,2026-07-17T23-54-45.733305,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,149.445525,16017300,run_20260717_215056
32,4,4,2026-07-17T23-57-39.188469,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,153.210604,15623682,run_20260717_215056
32,4,5,2026-07-18T00-00-09.419154,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,129.904762,18426682,run_20260717_215056
32,8,1,2026-07-18T00-02-52.986136,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,107.122553,22345563,run_20260717_215056
32,8,2,2026-07-18T00-05-06.256794,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,110.639922,21635172,run_20260717_215056
32,8,3,2026-07-18T00-07-20.029479,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,110.841649,21595797,run_20260717_215056
32,8,4,2026-07-18T00-09-28.975908,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,106.10157,22560588,run_20260717_215056
32,8,5,2026-07-18T00-11-35.560189,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,106.596344,22455871,run_20260717_215056
32,16,1,2026-07-18T00-14-09.118033,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,80.689566,29665717,run_20260717_215056
32,16,2,2026-07-18T00-15-51.915078,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,79.723559,30025175,run_20260717_215056
32,16,3,2026-07-18T00-17-34.712000,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,79.944134,29942332,run_20260717_215056
32,16,4,2026-07-18T00-19-16.001568,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,79.257578,30201703,run_20260717_215056
