traced_nodes,nl,trial,phase,time,pctTotal,source_run
16,32,2,Other (overhead),0.001704,0.0,run_20260717_215056
16,32,2,Total,45.681167,100.0,run_20260717_215056
16,32,3,Read global definitions,0.001966,0.0,run_20260717_215056
16,32,3,Build group/location map,0.00037,0.0,run_20260717_215056
16,32,3,Distribute groups,0.002008,0.0,run_20260717_215056
16,32,3,Read events + write output,45.309267,99.99,run_20260717_215056
16,32,3,Other (overhead),0.002231,0.0,run_20260717_215056
16,32,3,Total,45.313834,100.0,run_20260717_215056
16,32,4,Read global definitions,0.002229,0.0,run_20260717_215056
16,32,4,Build group/location map,0.000367,0.0,run_20260717_215056
16,32,4,Distribute groups,0.001481,0.0,run_20260717_215056
16,32,4,Read events + write output,44.982471,99.99,run_20260717_215056
16,32,4,Other (overhead),0.001698,0.0,run_20260717_215056
16,32,4,Total,44.986765,100.0,run_20260717_215056
16,32,5,Read global definitions,0.002181,0.0,run_20260717_215056
16,32,5,Build group/location map,0.000357,0.0,run_20260717_215056
16,32,5,Distribute groups,0.00147,0.0,run_20260717_215056
16,32,5,Read events + write output,44.606587,99.99,run_20260717_215056
16,32,5,Other (overhead),0.00168,0.0,run_20260717_215056
16,32,5,Total,44.610805,100.0,run_20260717_215056
16,4,1,Read global definitions,0.003169,0.0,run_20260717_215056
16,4,1,Build group/location map,0.000353,0.0,run_20260717_215056
16,4,1,Distribute groups,0.000534,0.0,run_20260717_215056
16,4,1,Read events + write output,76.286546,99.99,run_20260717_215056
16,4,1,Other (overhead),0.000772,0.0,run_20260717_215056
16,4,1,Total,76.29084,100.0,run_20260717_215056
16,4,2,Read global definitions,0.002567,0.0,run_20260717_215056
16,4,2,Build group/location map,0.000348,0.0,run_20260717_215056
16,4,2,Distribute groups,0.000532,0.0,run_20260717_215056
16,4,2,Read events + write output,74.813098,100.0,run_20260717_215056
16,4,2,Other (overhead),0.000791,0.0,run_20260717_215056
16,4,2,Total,74.816804,100.0,run_20260717_215056
16,4,3,Read global definitions,0.002486,0.0,run_20260717_215056
16,4,3,Build group/location map,0.00037,0.0,run_20260717_215056
16,4,3,Distribute groups,0.000537,0.0,run_20260717_215056
16,4,3,Read events + write output,81.359575,100.0,run_20260717_215056
16,4,3,Other (overhead),0.000803,0.0,run_20260717_215056
16,4,3,Total,81.363234,100.0,run_20260717_215056
16,4,4,Read global definitions,0.002062,0.0,run_20260717_215056
16,4,4,Build group/location map,0.000362,0.0,run_20260717_215056
16,4,4,Distribute groups,0.00046,0.0,run_20260717_215056
16,4,4,Read events + write output,89.989393,100.0,run_20260717_215056
16,4,4,Other (overhead),0.00072,0.0,run_20260717_215056
16,4,4,Total,89.992537,100.0,run_20260717_215056
