traced_nodes,nl,trial,Task,Locale,Locations,Events,Open (s),Setup (s),EnterCB (s),LeaveCB (s),MetricCB (s),libOTF2 (s),WriteCG (s),WriteMet (s),Total (s)
384,128,1,11,3,5,28915463,0.011509,0.149805,12.529021,11.929396,0.000138,7.084267,255.144798,2.193471,289.042436
384,128,1,12,3,5,28920591,0.00602,0.151465,12.789361,12.284158,0.000137,9.911382,195.26164,5.413288,235.817481
384,128,1,13,3,5,28852539,0.006076,0.226755,13.204069,12.633457,0.000137,7.217893,164.266216,49.971601,247.526239
384,128,1,14,3,5,28851693,0.006178,0.160259,13.535796,12.669906,0.000146,7.054171,197.931685,7.294216,238.652388
384,128,1,15,3,5,28967213,0.005861,0.15722,14.914424,13.806546,0.000144,7.710694,214.995078,15.769314,267.359316
384,128,1,16,3,5,28782045,0.006289,0.146697,12.371647,11.675413,0.000135,6.582158,217.803796,12.977742,261.563934
384,128,1,17,3,5,29079014,0.006175,0.147431,12.77422,12.074629,0.000139,6.855032,246.690266,5.589983,284.137906
384,128,1,18,3,5,28791914,0.006067,0.149857,15.100125,14.639135,0.000142,7.971029,201.328299,9.758679,248.95337
384,128,1,19,3,5,28928248,0.006127,0.159408,14.738279,13.786987,0.00015,8.162765,176.954222,6.992796,220.800768
384,128,1,20,3,48,74614908,0.006106,0.407494,12.86136,12.192978,89.889057,32.398173,106.984014,11.164534,265.903755
384,128,1,21,3,5,28850028,0.00591,0.150258,12.57598,12.053375,0.000137,7.271218,221.783612,14.238355,268.078879
384,128,1,22,3,5,28946613,0.005885,0.137828,14.440225,13.461593,0.000148,7.226895,170.970495,33.349936,239.593035
384,128,1,23,3,5,28842271,0.005881,0.152518,14.880526,14.141079,0.000149,7.761396,222.085375,12.732781,271.759742
384,128,1,0,4,48,75344691,0.001068,0.506718,12.5839,11.982226,89.685502,33.497492,136.299025,4.125621,288.681585
384,128,1,1,4,48,74752221,0.001063,0.291353,12.75926,12.251708,89.603667,32.542847,93.494798,11.114603,252.059333
384,128,1,2,4,5,28982344,0.001093,0.012977,12.666841,12.204399,0.000139,7.685052,217.13459,11.810012,261.515134
384,128,1,3,4,5,28823947,0.001037,0.011622,12.521144,12.127524,0.000134,7.399012,238.786374,11.946822,282.793702
384,128,1,4,4,48,75183374,0.000991,0.199858,12.819714,12.139627,89.424437,32.429293,102.330895,16.817682,266.162535
384,128,1,5,4,5,29124581,0.00094,0.06771,13.030602,12.560645,0.000146,7.648041,244.039882,4.576006,281.924006
384,128,1,6,4,5,29082473,0.001015,0.012689,12.806739,12.574794,0.000141,6.88455,211.062143,12.207119,255.54922
384,128,1,7,4,5,28923309,0.000231,0.012303,12.473996,11.949918,0.00014,6.822748,199.870918,25.080811,256.2111
384,128,1,8,4,5,28827395,0.001051,0.014366,13.117468,12.194835,0.000138,6.734589,230.895742,11.600269,274.558488
384,128,1,9,4,5,28902999,0.001,0.011844,12.798714,11.931852,0.00014,7.135255,230.819982,11.859255,274.558073
384,128,1,10,4,5,28955836,0.000998,0.10073,12.781151,12.000489,0.000137,10.689815,228.37349,9.980061,273.926907
384,128,1,11,4,5,28972361,0.001119,0.011721,13.712881,13.014112,0.000143,7.306742,219.536408,13.776853,267.360013
384,128,1,12,4,5,28952696,0.000899,0.013697,12.644995,11.947454,0.000136,7.445056,232.663559,9.200207,273.916035
384,128,1,13,4,5,28839895,0.001158,0.012634,12.726547,11.971302,0.000138,7.28515,218.745754,13.142873,263.885596
384,128,1,14,4,5,29226743,0.001045,0.011218,13.676018,12.472754,0.00014,6.910933,246.961552,7.20592,287.239611
384,128,1,15,4,5,29066996,0.000952,0.012767,14.290517,13.389158,0.000147,7.397431,243.143572,8.333393,286.567971
384,128,1,16,4,5,28910625,0.001139,0.012624,14.547765,13.689955,0.000146,7.753891,214.667596,12.445462,263.118611
384,128,1,17,4,48,75331635,0.001001,0.4181,13.532682,12.50172,90.141889,34.461456,94.971479,14.698349,260.726711
384,128,1,18,4,5,28863230,0.000893,0.011173,13.592382,12.846898,0.000138,7.545895,224.264092,11.791978,270.053478
384,128,1,19,4,5,28922844,0.001117,0.013597,13.845117,13.099222,0.000137,7.548077,229.143506,10.837411,274.488216
384,128,1,20,4,49,74896209,0.001069,0.323087,13.063466,12.164857,91.756365,33.779863,104.171216,18.975222,274.235181
384,128,1,21,4,5,28819416,0.001238,0.012573,12.667934,11.998572,0.000137,7.398064,227.639008,13.248791,272.966347
384,128,1,22,4,5,29081242,0.000827,0.012004,12.905727,12.191112,0.000138,7.040659,184.496929,26.205817,242.853241
384,128,1,23,4,5,28799764,0.001071,0.014234,12.388545,11.860015,0.000132,6.782451,227.47654,9.529794,268.05284
384,128,1,0,5,48,74999829,0.001216,0.403943,12.956695,12.257808,91.495466,33.921415,91.58864,19.785233,262.410455
384,128,1,1,5,48,74975794,0.00128,0.408617,12.693692,11.969287,90.538034,34.548036,129.818232,6.814644,286.791858
384,128,1,2,5,5,29008480,0.001296,0.080295,13.028745,12.481389,0.00014,6.965901,240.130492,9.808669,282.496957
384,128,1,3,5,48,75294836,0.00131,0.279685,12.610323,11.938947,91.945902,33.564012,126.062551,9.606107,286.008871
384,128,1,4,5,48,75319417,0.001167,0.416133,12.796847,12.041989,90.674394,33.203389,89.325942,21.707964,260.167858
384,128,1,5,5,5,29087995,0.000987,0.113851,12.562889,12.081293,0.000139,7.511369,242.500314,4.821797,279.592672
384,128,1,6,5,5,28850521,0.00119,0.104028,12.455825,11.822488,0.000145,6.747866,236.719766,12.72316,280.574503
384,128,1,7,5,5,29084525,0.001333,0.06946,12.498115,11.880347,0.000146,6.848984,193.542861,3.041289,227.882565
384,128,1,8,5,5,28802567,0.001266,0.107797,12.495267,11.7648,0.000138,6.816355,233.378485,11.168341,275.732478
384,128,1,9,5,5,28792384,0.001262,0.044574,12.428044,11.773921,0.000135,7.043891,221.033038,7.846926,260.171823
384,128,1,10,5,5,29234273,0.001216,0.083779,12.86929,12.234569,0.000135,7.573977,216.365358,12.291391,261.419746
384,128,1,11,5,5,28894057,0.00126,0.048457,12.5671,11.828958,0.000132,7.533811,226.397551,9.804011,268.181312
384,128,1,12,5,5,28794370,0.001287,0.049286,12.444917,11.81799,0.000139,6.937746,175.858525,3.585284,210.695205
384,128,1,13,5,48,75394724,0.001244,0.794698,12.848181,12.177468,90.187464,33.367242,118.987076,16.345249,284.70866
384,128,1,14,5,5,28823654,0.001111,0.072103,12.546534,11.868505,0.000135,7.032702,200.047748,22.914905,254.483778
384,128,1,15,5,5,28872282,0.001322,0.049821,12.356572,11.709622,0.000137,6.775488,220.519942,14.40209,265.815055
384,128,1,16,5,5,28951869,0.001294,0.186661,14.211325,13.474948,0.000148,7.804892,178.416275,36.709869,250.805444
384,128,1,17,5,5,28840763,0.001133,0.068946,15.091467,14.20903,0.000136,8.60489,210.042394,12.839489,260.857515
384,128,1,18,5,5,28795499,0.001253,0.045056,12.723363,12.062188,0.000137,7.544382,230.423932,11.166195,273.966539
384,128,1,19,5,5,29003342,0.001125,0.140846,12.60637,11.981342,0.000138,7.578175,250.342809,1.856949,284.507787
384,128,1,20,5,5,29262693,0.001335,0.045872,13.770627,12.987637,0.000142,8.164476,226.364586,11.352935,272.687643
384,128,1,21,5,5,29190028,0.000965,0.07768,15.01458,14.12209,0.000145,8.791237,236.936938,6.931613,281.875275
384,128,1,22,5,5,29065205,0.001337,0.069312,12.537566,11.879324,0.000133,6.805808,218.367973,13.880761,263.542252
384,128,1,23,5,5,29108491,0.003316,0.038376,12.630755,12.093324,0.000137,6.858052,223.278061,17.718955,272.621007
384,128,1,0,6,5,28917839,0.017308,0.163431,13.428931,12.416268,0.000139,6.937449,225.042141,11.010066,269.015766
384,128,1,1,6,5,28786960,0.01731,0.144417,14.653983,13.979174,0.000152,7.189611,240.064658,6.761561,282.810897
384,128,1,2,6,5,28847917,0.01734,0.149604,12.921781,12.290587,0.000135,7.703041,218.632639,13.272355,264.987511
384,128,1,3,6,5,28871642,0.017355,0.149104,13.147521,12.507033,0.000132,7.665805,242.856836,6.742116,283.085932
384,128,1,4,6,5,28832084,0.017205,0.148246,13.709692,12.842402,0.000134,10.303226,226.694805,11.115512,274.831255
384,128,1,5,6,5,28931274,0.016811,0.143933,13.801043,13.223763,0.000143,7.603483,227.056897,14.802371,276.648481
384,128,1,6,6,5,29078254,0.017253,0.165399,13.200822,12.484868,0.000134,7.161682,216.025296,10.758502,259.81399
384,128,1,7,6,48,75321751,0.017348,0.516106,13.169538,12.319745,91.602284,32.461042,102.379634,11.600108,264.065842
384,128,1,8,6,5,29039206,0.016413,0.164643,13.014058,12.529739,0.000138,6.972281,226.393915,11.211269,270.302494
384,128,1,9,6,5,29083909,0.016511,0.182179,13.014464,12.420615,0.000142,7.260294,219.477911,12.757166,265.129315
384,128,1,10,6,5,28950078,0.01737,0.161991,13.114431,12.463947,0.00014,7.571055,150.954321,5.599174,189.882462
384,128,1,11,6,5,28959877,0.017377,0.168285,13.092854,12.354134,0.00014,9.922589,230.90826,8.740274,275.203951
384,128,1,12,6,5,28806435,0.015729,0.144597,13.787655,13.054312,0.000136,7.439783,235.138517,8.55779,278.138551
384,128,1,13,6,5,28843153,0.017241,0.136841,13.602821,12.901335,0.000144,8.070897,233.810916,7.891521,276.431747
384,128,1,14,6,5,29239277,0.016804,0.169755,15.149204,14.353802,0.000149,8.126904,224.665872,12.722048,275.204569
384,128,1,15,6,5,28970719,0.016679,0.181334,13.422512,12.66559,0.00014,6.831333,191.909257,2.428896,227.455776
384,128,1,16,6,48,75092086,0.016644,0.712147,14.101303,13.162268,94.405204,34.717046,100.321387,15.257143,272.693176
384,128,1,17,6,5,28931702,0.016526,0.137027,21.130804,20.955258,0.00018,13.393178,193.581845,15.68401,264.898864
384,128,1,18,6,5,28837352,0.017377,0.173059,20.534343,19.244914,0.000193,11.141214,194.284716,9.903177,255.299023
384,128,1,19,6,5,28845504,0.017264,0.163962,13.191675,12.544816,0.00014,7.562349,235.073744,9.370253,277.924233
384,128,1,20,6,5,28841711,0.016774,0.146531,12.956464,12.427017,0.000143,7.523417,203.647678,20.219488,256.937545
384,128,1,21,6,5,28834760,0.02616,0.151638,13.937332,13.23558,0.000137,8.324805,246.148644,4.221398,286.045727
384,128,1,22,6,5,28844012,0.017359,0.14703,15.762542,14.791925,0.000153,8.361757,229.682115,9.376915,278.139832
384,128,1,23,6,5,28831228,0.017386,0.163456,12.845195,12.241232,0.000139,6.833892,219.570702,15.94865,267.620713
384,128,1,0,7,5,28825983,0.01325,0.082396,12.411342,12.044474,0.000139,6.682746,211.035678,8.522548,250.792631
384,128,1,1,7,5,28804808,0.013254,0.085229,12.660354,12.100301,0.000133,7.038733,229.026383,11.696708,272.621126
384,128,1,2,7,5,28965154,0.01321,0.110148,12.930849,12.493534,0.000138,7.321078,232.58483,10.433276,275.887099
384,128,1,3,7,5,28994762,0.013248,0.068687,13.158571,12.807764,0.000144,10.790779,241.958537,6.565084,285.362845
384,128,1,4,7,5,28853528,0.013263,0.091886,14.054936,13.36437,0.00014,7.413235,225.986839,13.419575,274.344276
384,128,1,5,7,5,29195485,0.013273,0.081378,13.459003,13.066355,0.000141,7.319428,241.649199,11.261162,286.849971
384,128,1,6,7,5,29243757,0.01326,0.110089,13.032872,12.493336,0.000137,6.932653,230.600806,10.98816,274.171343
384,128,1,7,7,48,74929200,0.013206,0.357313,12.782007,12.285565,89.637611,32.265458,80.463077,9.74519,237.549462
384,128,1,8,7,5,28821758,0.0133,0.088764,13.304077,12.207572,0.00014,6.668077,210.903859,11.05741,254.243233
384,128,1,9,7,5,29206754,0.013263,0.117653,12.738183,12.304587,0.00014,7.225948,221.790598,10.880969,265.071372
384,128,1,10,7,5,28829709,0.013282,0.112526,12.60191,12.164723,0.00014,10.769077,229.13868,12.86323,277.663599
384,128,1,11,7,5,29148351,0.013246,0.087636,14.401405,13.525289,0.000134,7.469582,233.81524,10.170115,279.482681
384,128,1,12,7,5,28838017,0.013238,0.128621,12.588095,12.15518,0.000135,7.382879,218.731851,16.337361,267.337393
384,128,1,13,7,5,28823937,0.013256,0.080025,12.64048,12.239144,0.000139,7.343956,200.81022,10.792518,243.919773
384,128,1,14,7,5,28899187,0.013242,0.084268,12.668982,12.334687,0.000136,6.816042,234.838876,7.615603,274.371875
384,128,1,15,7,5,28893735,0.013231,0.080037,14.866718,13.822857,0.000145,7.122006,214.946221,8.664121,259.515374
384,128,1,16,7,5,29067984,0.013397,0.080687,12.868014,12.358236,0.000133,6.763393,210.785,12.480678,255.349571
384,128,1,17,7,5,29046180,0.013245,0.085004,19.210637,18.8792,0.000185,12.988069,193.536452,11.569927,256.282756
384,128,1,18,7,5,28829637,0.013284,0.118279,21.439865,20.063557,0.000175,10.214587,231.371393,1.890673,285.111849
384,128,1,19,7,5,28985082,0.013183,0.083064,12.782507,12.120115,0.000136,7.697221,210.842389,11.684501,255.223149
384,128,1,20,7,5,29021401,0.013202,0.082992,14.289448,13.177229,0.000139,7.399517,215.453675,11.765017,262.181251
384,128,1,21,7,5,29067617,0.013108,0.084237,13.787887,13.204,0.000138,7.882571,196.435324,17.177251,248.584546
384,128,1,22,7,5,28815225,0.013195,0.08155,14.658399,13.911975,0.000145,7.786862,216.961461,13.527322,266.94094
384,128,1,23,7,5,28848118,0.012254,0.08002,12.67801,12.084777,0.000141,6.641601,234.23183,10.173337,275.901999
384,128,1,0,8,5,29087285,0.00126,0.132375,12.948693,12.537036,0.000142,6.880167,216.530871,11.375473,260.406049
384,128,1,1,8,5,29228630,0.001094,0.140876,13.467504,12.905331,0.000138,7.15916,237.025961,7.483296,278.18339
384,128,1,2,8,5,28902375,0.001266,0.135757,12.883999,12.226896,0.000134,7.268032,240.574325,8.867563,281.958002
384,128,1,3,8,5,28983043,0.001304,0.139865,12.925865,12.246596,0.000138,10.593803,223.067891,13.189157,272.164653
384,128,1,4,8,5,28865785,0.001212,0.135005,14.113164,13.434546,0.000137,7.464213,249.42428,3.931919,288.504505
384,128,1,5,8,5,28914917,0.001374,0.140913,12.997966,12.34716,0.000136,7.721844,238.844192,10.785196,282.838812
384,128,1,6,8,5,29095353,0.001213,0.133671,12.88581,12.313326,0.00013,6.787536,186.931488,30.95633,250.009533
384,128,1,7,8,5,28866318,0.001241,0.174766,13.612146,12.782695,0.000136,7.08445,240.045405,9.136029,282.836896
