traced_nodes,nl,trial,phase,time,pctTotal,source_run
32,2,2,Other (overhead),0.001024,0.0,run_20260717_203803_save
32,2,2,Total,278.703287,100.0,run_20260717_203803_save
32,2,3,Read global definitions,0.004674,0.0,run_20260717_203803_save
32,2,3,Build group/location map,0.000693,0.0,run_20260717_203803_save
32,2,3,Distribute groups,0.000661,0.0,run_20260717_203803_save
32,2,3,Read events + write output,281.82192,100.0,run_20260717_203803_save
32,2,3,Other (overhead),0.000828,0.0,run_20260717_203803_save
32,2,3,Total,281.828115,100.0,run_20260717_203803_save
32,2,4,Read global definitions,0.00467,0.0,run_20260717_203803_save
32,2,4,Build group/location map,0.000681,0.0,run_20260717_203803_save
32,2,4,Distribute groups,0.000685,0.0,run_20260717_203803_save
32,2,4,Read events + write output,275.127348,100.0,run_20260717_203803_save
32,2,4,Other (overhead),0.000853,0.0,run_20260717_203803_save
32,2,4,Total,275.133552,100.0,run_20260717_203803_save
32,2,5,Read global definitions,0.005665,0.0,run_20260717_203803_save
32,2,5,Build group/location map,0.000962,0.0,run_20260717_203803_save
32,2,5,Distribute groups,0.001267,0.0,run_20260717_203803_save
32,2,5,Read events + write output,286.160347,100.0,run_20260717_203803_save
32,2,5,Other (overhead),0.001469,0.0,run_20260717_203803_save
32,2,5,Total,286.168443,100.0,run_20260717_203803_save
32,32,1,Read global definitions,0.004972,0.01,run_20260717_203803_save
32,32,1,Build group/location map,0.000694,0.0,run_20260717_203803_save
32,32,1,Distribute groups,0.013353,0.02,run_20260717_203803_save
32,32,1,Read events + write output,77.755395,99.98,run_20260717_203803_save
32,32,1,Other (overhead),0.013559,0.02,run_20260717_203803_save
32,32,1,Total,77.77462,100.0,run_20260717_203803_save
32,32,2,Read global definitions,0.002646,0.0,run_20260717_203803_save
32,32,2,Build group/location map,0.000683,0.0,run_20260717_203803_save
32,32,2,Distribute groups,0.00142,0.0,run_20260717_203803_save
32,32,2,Read events + write output,72.71753,99.99,run_20260717_203803_save
32,32,2,Other (overhead),0.001613,0.0,run_20260717_203803_save
32,32,2,Total,72.722472,100.0,run_20260717_203803_save
32,32,3,Read global definitions,0.002659,0.0,run_20260717_203803_save
32,32,3,Build group/location map,0.000678,0.0,run_20260717_203803_save
32,32,3,Distribute groups,0.003493,0.0,run_20260717_203803_save
32,32,3,Read events + write output,73.242434,99.99,run_20260717_203803_save
32,32,3,Other (overhead),0.003685,0.01,run_20260717_203803_save
32,32,3,Total,73.249456,100.0,run_20260717_203803_save
32,32,4,Read global definitions,0.03542,0.05,run_20260717_203803_save
32,32,4,Build group/location map,0.000681,0.0,run_20260717_203803_save
32,32,4,Distribute groups,0.012212,0.02,run_20260717_203803_save
32,32,4,Read events + write output,78.030236,99.94,run_20260717_203803_save
32,32,4,Other (overhead),0.012438,0.02,run_20260717_203803_save
32,32,4,Total,78.078775,100.0,run_20260717_203803_save
32,32,5,Read global definitions,0.011562,0.01,run_20260717_203803_save
32,32,5,Build group/location map,0.000689,0.0,run_20260717_203803_save
32,32,5,Distribute groups,0.00467,0.01,run_20260717_203803_save
32,32,5,Read events + write output,80.288456,99.98,run_20260717_203803_save
32,32,5,Other (overhead),0.004896,0.01,run_20260717_203803_save
32,32,5,Total,80.305603,100.0,run_20260717_203803_save
32,4,1,Read global definitions,0.005166,0.0,run_20260717_203803_save
32,4,1,Build group/location map,0.000701,0.0,run_20260717_203803_save
32,4,1,Distribute groups,0.001222,0.0,run_20260717_203803_save
32,4,1,Read events + write output,188.527498,100.0,run_20260717_203803_save
32,4,1,Other (overhead),0.001422,0.0,run_20260717_203803_save
32,4,1,Total,188.534787,100.0,run_20260717_203803_save
32,4,2,Read global definitions,0.00448,0.0,run_20260717_203803_save
32,4,2,Build group/location map,0.000676,0.0,run_20260717_203803_save
32,4,2,Distribute groups,0.001098,0.0,run_20260717_203803_save
32,4,2,Read events + write output,173.648136,100.0,run_20260717_203803_save
