traced_nodes,nl,trial,timestamp,strategy,numLocales,tracePath,totalTime,throughput,source_run
4,4,5,2026-07-14T05-42-11.653334,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,34.095694,4232352,run_20260714_043638_save
4,8,1,2026-07-14T05-49-36.392452,locgroup_dist_block,8,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,28.623277,5041526,run_20260714_043638_save
4,8,2,2026-07-14T05-50-46.110115,locgroup_dist_block,8,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,28.882728,4996238,run_20260714_043638_save
4,8,3,2026-07-14T05-51-56.139244,locgroup_dist_block,8,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,29.470996,4896509,run_20260714_043638_save
4,8,4,2026-07-14T05-53-04.614033,locgroup_dist_block,8,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,27.592008,5229956,run_20260714_043638_save
4,8,5,2026-07-14T05-54-15.814566,locgroup_dist_block,8,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,28.362682,5087847,run_20260714_043638_save
4,16,1,2026-07-14T06-01-11.141308,locgroup_dist_block,16,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,27.228819,5299715,run_20260714_043638_save
4,16,2,2026-07-14T06-02-21.654142,locgroup_dist_block,16,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,27.251363,5295331,run_20260714_043638_save
4,16,3,2026-07-14T06-03-31.740240,locgroup_dist_block,16,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,27.087226,5327419,run_20260714_043638_save
4,16,4,2026-07-14T06-04-40.709190,locgroup_dist_block,16,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,27.069948,5330819,run_20260714_043638_save
4,16,5,2026-07-14T06-05-49.550081,locgroup_dist_block,16,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,26.582063,5428660,run_20260714_043638_save
8,1,1,2026-07-14T06-13-19.959496,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,82.224834,5114455,run_20260714_043638_save
8,1,2,2026-07-14T06-14-53.628204,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,84.548654,4973884,run_20260714_043638_save
8,1,3,2026-07-14T06-16-29.181163,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,86.600155,4856056,run_20260714_043638_save
8,1,4,2026-07-14T06-18-00.988638,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,82.878741,5074102,run_20260714_043638_save
8,1,5,2026-07-14T06-19-33.367376,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,83.519251,5035189,run_20260714_043638_save
8,2,1,2026-07-14T06-28-41.138716,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,66.385589,6334737,run_20260714_043638_save
8,2,2,2026-07-14T06-30-28.658853,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,67.259114,6252464,run_20260714_043638_save
8,2,3,2026-07-14T06-32-13.756731,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,65.545171,6415960,run_20260714_043638_save
8,2,4,2026-07-14T06-34-08.701583,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,75.414473,5576320,run_20260714_043638_save
8,2,5,2026-07-14T06-36-02.695415,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,74.294383,5660391,run_20260714_043638_save
8,4,1,2026-07-14T06-47-00.524142,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,47.430461,8866353,run_20260714_043638_save
8,4,2,2026-07-14T06-48-30.370400,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,49.386884,8515120,run_20260714_043638_save
8,4,3,2026-07-14T06-50-04.741171,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,53.738615,7825569,run_20260714_043638_save
8,4,4,2026-07-14T06-51-34.868251,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,49.365732,8518768,run_20260714_043638_save
8,4,5,2026-07-14T06-53-10.618993,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,55.24439,7612270,run_20260714_043638_save
8,7,1,2026-07-14T07-02-22.372148,locgroup_dist_block,7,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,50.060397,8400557,run_20260714_043638_save
8,7,2,2026-07-14T07-03-51.849313,locgroup_dist_block,7,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,48.916074,8597076,run_20260714_043638_save
8,7,3,2026-07-14T07-05-21.442929,locgroup_dist_block,7,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,48.831357,8611991,run_20260714_043638_save
8,7,4,2026-07-14T07-06-49.832805,locgroup_dist_block,7,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-8-node-single-HPL-run/traces.otf2,47.968442,8766914,run_20260714_043638_save
